Video,t1Act1,t1Act2,t1ActAvg,t1Sent1,t1Sent2,t1SentAvg,t2Act1,t2Act2,t2ActAvg,t2Sent1,t2Sent2,t2SentAvg,t3Act1,t3Act2,t3ActAvg,t3Sent1,t3Sent2,t3SentAvg
2016 02 23 7,8,7,7.5,1,2,1.5,9.0,7,8.0,1.0,3,2.0,8.0,7.0,7.5,2.0,2.0,2.0
2016 02 23 8,7,7,7.0,2,2,2.0,8.0,6,7.0,1.0,3,2.0,7.0,7.0,7.0,3.0,3.0,3.0
2016 02 23 9,6,6,6.0,5,6,5.5,6.0,5,5.5,4.0,5,4.5,7.0,7.0,7.0,4.0,4.0,4.0
2016 02 18 0,7,7,7.0,2,3,2.5,6.0,5,5.5,3.0,4,3.5,6.0,6.0,6.0,3.0,3.0,3.0
2016 02 18 1,7,7,7.0,2,3,2.5,10.0,8,9.0,1.0,1,1.0,7.0,7.0,7.0,3.0,3.0,3.0
2016 02 18 2,5,6,5.5,7,8,7.5,6.0,5,5.5,8.0,7,7.5,4.0,5.0,4.5,6.0,6.0,6.0
2016 02 18 3,6,6,6.0,6,6,6.0,5.0,2,3.5,5.0,7,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016 02 18 4,6,6,6.0,3,3,3.0,8.0,5,6.5,4.0,4,4.0,7.0,7.0,7.0,3.0,4.0,3.5
2016 02 18 5,6,6,6.0,3,2,2.5,6.0,6,6.0,2.0,3,2.5,6.0,6.0,6.0,3.0,2.0,2.5
2016 02 18 6,6,6,6.0,7,8,7.5,3.0,4,3.5,8.0,6,7.0,5.0,4.0,4.5,5.0,6.0,5.5
2016 02 18 7,7,7,7.0,3,2,2.5,6.0,6,6.0,3.0,4,3.5,7.0,6.0,6.5,3.0,3.0,3.0
2016 02 18 8,6,7,6.5,1,3,2.0,7.0,5,6.0,1.0,3,2.0,6.0,6.0,6.0,3.0,3.0,3.0
2016 02 18 9,6,6,6.0,10,7,8.5,5.0,5,5.0,8.0,6,7.0,5.0,4.0,4.5,7.0,6.0,6.5
2016 02 05 0,7,7,7.0,3,2,2.5,8.0,7,7.5,3.0,1,2.0,7.0,6.0,6.5,3.0,3.0,3.0
2016 02 05 1,7,7,7.0,2,3,2.5,6.0,6,6.0,5.0,4,4.5,7.0,6.0,6.5,3.0,4.0,3.5
2016 02 05 2,6,7,6.5,4,4,4.0,7.0,5,6.0,3.0,5,4.0,4.0,4.0,4.0,5.0,4.0,4.5
2016 02 05 3,7,6,6.5,0,0,0.0,6.0,8,7.0,1.0,3,2.0,7.0,7.0,7.0,3.0,3.0,3.0
2016 02 05 4,6,6,6.0,7,8,7.5,5.0,5,5.0,8.0,7,7.5,4.0,4.0,4.0,6.0,6.0,6.0
2016 02 05 5,6,6,6.0,3,3,3.0,6.0,5,5.5,4.0,4,4.0,6.0,5.0,5.5,4.0,4.0,4.0
2016 02 05 6,6,6,6.0,9,8,8.5,4.0,5,4.5,7.0,7,7.0,6.0,5.0,5.5,6.0,6.0,6.0
2016 02 05 7,7,7,7.0,3,3,3.0,8.0,6,7.0,2.0,3,2.5,7.0,7.0,7.0,3.0,3.0,3.0
2016 02 05 8,7,7,7.0,7,7,7.0,5.0,5,5.0,8.0,6,7.0,6.0,4.0,5.0,6.0,6.0,6.0
2016 02 05 9,6,7,6.5,2,3,2.5,7.0,6,6.5,3.0,4,3.5,7.0,7.0,7.0,3.0,4.0,3.5
2016 02 02 0,5,6,5.5,7,7,7.0,8.0,7,7.5,5.0,5,5.0,6.0,6.0,6.0,6.0,4.0,5.0
2016 02 02 1,6,6,6.0,2,1,1.5,6.0,6,6.0,3.0,4,3.5,6.0,5.0,5.5,4.0,3.0,3.5
2016 02 02 2,7,8,7.5,2,2,2.0,6.0,7,6.5,2.0,3,2.5,7.0,6.0,6.5,2.0,3.0,2.5
2016 02 02 3,7,7,7.0,3,3,3.0,7.0,5,6.0,4.0,5,4.5,5.0,5.0,5.0,4.0,5.0,4.5
2016 02 02 4,7,6,6.5,3,3,3.0,7.0,5,6.0,5.0,3,4.0,7.0,6.0,6.5,3.0,4.0,3.5
2016 02 02 5,5,6,5.5,5,4,4.5,8.0,6,7.0,0.0,2,1.0,7.0,6.0,6.5,6.0,5.0,5.5
2016 02 02 6,5,6,5.5,4,4,4.0,5.0,5,5.0,5.0,5,5.0,5.0,4.0,4.5,4.0,6.0,5.0
2016 02 02 7,6,6,6.0,7,7,7.0,5.0,5,5.0,5.0,7,6.0,4.0,4.0,4.0,7.0,6.0,6.5
2016 02 02 8,6,6,6.0,7,8,7.5,6.0,4,5.0,8.0,6,7.0,5.0,6.0,5.5,6.0,7.0,6.5
2016 02 02 9,6,6,6.0,7,8,7.5,2.0,2,2.0,7.0,6,6.5,7.0,6.0,6.5,6.0,6.0,6.0
2016 01 28 0,6,6,6.0,7,7,7.0,5.0,5,5.0,8.0,7,7.5,5.0,6.0,5.5,7.0,7.0,7.0
2016 01 28 1,6,7,6.5,7,4,5.5,5.0,5,5.0,5.0,6,5.5,6.0,6.0,6.0,3.0,4.0,3.5
2016 01 28 2,7,6,6.5,3,3,3.0,8.0,5,6.5,3.0,3,3.0,6.0,6.0,6.0,4.0,3.0,3.5
2016 01 28 3,6,6,6.0,7,6,6.5,4.0,5,4.5,7.0,6,6.5,5.0,5.0,5.0,5.0,6.0,5.5
2016 01 28 4,7,7,7.0,3,3,3.0,6.0,6,6.0,3.0,3,3.0,7.0,7.0,7.0,3.0,3.0,3.0
2016 01 28 5,7,7,7.0,3,3,3.0,6.0,6,6.0,4.0,3,3.5,6.0,6.0,6.0,3.0,3.0,3.0
2016 01 28 6,6,6,6.0,3,2,2.5,7.0,6,6.5,3.0,3,3.0,6.0,6.0,6.0,3.0,4.0,3.5
2016 01 28 7,5,6,5.5,10,10,10.0,5.0,4,4.5,8.0,8,8.0,4.0,5.0,4.5,7.0,7.0,7.0
2016 01 28 8,6,6,6.0,7,6,6.5,5.0,6,5.5,9.0,6,7.5,4.0,6.0,5.0,7.0,6.0,6.5
2016 01 28 9,6,7,6.5,9,9,9.0,5.0,3,4.0,10.0,8,9.0,5.0,6.0,5.5,7.0,7.0,7.0
2016 01 25 0,6,6,6.0,10,10,10.0,7.0,8,7.5,4.0,8,6.0,7.0,6.0,6.5,8.0,7.0,7.5
2016 01 25 1,7,7,7.0,7,7,7.0,7.0,4,5.5,7.0,7,7.0,6.0,6.0,6.0,7.0,7.0,7.0
