,Video,t1Act1,t1Act2,t1ActAvg,t1Sent1,t1Sent2,t1SentAvg,t2Act1,t2Act2,t2ActAvg,t2Sent1,t2Sent2,t2SentAvg,t3Act1,t3Act2,t3ActAvg,t3Sent1,t3Sent2,t3SentAvg,Unnamed: 0,v1Act1,v1Act2,v1ActAvg,v1Sent1,v1Sent2,v1SentAvg,v2Act1,v2Act2,v2ActAvg,v2Sent1,v2Sent2,v2SentAvg,v3Act1,v3Act2,v3ActAvg,v3Sent1,v3Sent2,v3SentAvg
608,2016 06 02 8,6,6,6.0,4,6,5.0,5.0,5,5.0,5.0,5,5.0,5.0,4.0,4.5,6.0,5.0,5.5,2016 06 02 8,4.0,4.0,4.0,6.0,5.0,5.5,,,,,,,,,,,,
609,2016 06 02 9,7,7,7.0,4,3,3.5,5.0,5,5.0,6.0,6,6.0,5.0,5.0,5.0,6.0,4.0,5.0,2016 06 02 9,,,,,,,6.0,,6.0,6.0,,6.0,,,,,,
610,2016 05 20 0,7,7,7.0,1,2,1.5,6.0,6,6.0,2.0,3,2.5,7.0,7.0,7.0,2.0,3.0,2.5,,,,,,,,,,,,,,,,,,,
611,2016 05 20 1,6,6,6.0,4,6,5.0,10.0,8,9.0,2.0,3,2.5,7.0,7.0,7.0,4.0,3.0,3.5,2016 05 20 1,4.0,,4.0,6.0,,6.0,,,,,,,,,,,,
612,2016 05 20 2,6,6,6.0,9,8,8.5,2.0,6,4.0,7.0,6,6.5,5.0,4.0,4.5,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,
613,2016 05 20 3,5,6,5.5,5,5,5.0,5.0,5,5.0,7.0,5,6.0,5.0,5.0,5.0,7.0,6.0,6.5,2016 05 20 3,4.0,,4.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,6.0,,6.0,3.0,,3.0
614,2016 05 20 4,5,6,5.5,7,7,7.0,7.0,5,6.0,5.0,6,5.5,5.0,5.0,5.0,6.0,6.0,6.0,2016 05 20 4,,,,,,,6.0,7.0,6.5,6.0,7.0,6.5,,,,,,
615,2016 05 20 5,7,6,6.5,1,3,2.0,8.0,6,7.0,2.0,3,2.5,8.0,6.0,7.0,3.0,3.0,3.0,2016 05 20 5,3.0,4.0,3.5,5.0,5.0,5.0,,,,,,,,,,,,
616,2016 05 20 6,6,7,6.5,2,3,2.5,7.0,7,7.0,3.0,4,3.5,7.0,6.0,6.5,3.0,3.0,3.0,2016 05 20 6,3.0,4.0,3.5,5.0,6.0,5.5,4.0,,4.0,6.0,,6.0,,,,,,
617,2016 05 20 7,7,7,7.0,4,3,3.5,9.0,6,7.5,4.0,4,4.0,6.0,7.0,6.5,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
618,2016 05 20 8,6,6,6.0,2,3,2.5,6.0,5,5.5,3.0,3,3.0,7.0,6.0,6.5,3.0,3.0,3.0,2016 05 20 8,4.0,,4.0,4.0,,4.0,,,,,,,,,,,,
619,2016 05 20 9,7,7,7.0,3,3,3.0,7.0,7,7.0,3.0,3,3.0,7.0,6.0,6.5,3.0,4.0,3.5,2016 05 20 9,,,,,,,5.0,,5.0,7.0,,7.0,,,,,,
