,Video,t1Act1,t1Act2,t1ActAvg,t1Sent1,t1Sent2,t1SentAvg,t2Act1,t2Act2,t2ActAvg,t2Sent1,t2Sent2,t2SentAvg,t3Act1,t3Act2,t3ActAvg,t3Sent1,t3Sent2,t3SentAvg,Unnamed: 0,v1Act1,v1Act2,v1ActAvg,v1Sent1,v1Sent2,v1SentAvg,v2Act1,v2Act2,v2ActAvg,v2Sent1,v2Sent2,v2SentAvg,v3Act1,v3Act2,v3ActAvg,v3Sent1,v3Sent2,v3SentAvg
682,2016 04 14 2,6,7,6.5,3,3,3.0,6.0,7,6.5,2.0,1,1.5,7.0,7.0,7.0,3.0,3.0,3.0,2016 04 14 2,,,,,,,8.0,8.0,8.0,3.0,4.0,3.5,,,,,,
683,2016 04 14 3,7,6,6.5,2,2,2.0,5.0,6,5.5,3.0,3,3.0,7.0,6.0,6.5,4.0,3.0,3.5,2016 04 14 3,6.0,,6.0,3.0,,3.0,7.0,7.0,7.0,3.0,2.0,2.5,,,,,,
684,2016 04 14 4,6,7,6.5,1,2,1.5,6.0,6,6.0,3.0,3,3.0,7.0,6.0,6.5,3.0,3.0,3.0,2016 04 14 4,,,,,,,6.0,,6.0,2.0,,2.0,5.0,,5.0,4.0,,4.0
685,2016 04 14 5,7,7,7.0,3,3,3.0,8.0,6,7.0,1.0,2,1.5,7.0,7.0,7.0,3.0,3.0,3.0,2016 04 14 5,5.0,,5.0,3.0,,3.0,,,,,,,,,,,,
686,2016 04 14 6,6,8,7.0,3,3,3.0,7.0,5,6.0,4.0,4,4.0,6.0,8.0,7.0,4.0,4.0,4.0,2016 04 14 6,4.0,,4.0,3.0,,3.0,5.0,,5.0,5.0,,5.0,,,,,,
687,2016 04 14 7,6,6,6.0,4,4,4.0,5.0,5,5.0,5.0,5,5.0,5.0,6.0,5.5,6.0,4.0,5.0,2016 04 14 7,7.0,,7.0,7.0,,7.0,,,,,,,,,,,,
688,2016 04 14 8,6,6,6.0,4,3,3.5,5.0,6,5.5,5.0,5,5.0,6.0,6.0,6.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
689,2016 04 14 9,7,7,7.0,3,4,3.5,7.0,7,7.0,3.0,3,3.0,6.0,6.0,6.0,3.0,4.0,3.5,2016 04 14 9,6.0,,6.0,3.0,,3.0,8.0,,8.0,3.0,,3.0,,,,,,
690,2016 04 11 0,6,6,6.0,4,4,4.0,7.0,6,6.5,7.0,4,5.5,6.0,5.0,5.5,7.0,6.0,6.5,2016 04 11 0,7.0,,7.0,3.0,,3.0,7.0,,7.0,4.0,,4.0,8.0,,8.0,3.0,,3.0
691,2016 04 11 1,7,7,7.0,6,7,6.5,5.0,5,5.0,8.0,5,6.5,5.0,4.0,4.5,5.0,7.0,6.0,2016 04 11 1,6.0,,6.0,4.0,,4.0,,,,,,,,,,,,
692,2016 04 11 2,8,7,7.5,2,3,2.5,8.0,6,7.0,5.0,2,3.5,6.0,7.0,6.5,2.0,3.0,2.5,2016 04 11 2,8.0,9.0,8.5,1.0,0.0,0.5,,,,,,,,,,,,
693,2016 04 11 3,6,7,6.5,4,3,3.5,10.0,7,8.5,4.0,4,4.0,7.0,6.0,6.5,6.0,4.0,5.0,2016 04 11 3,5.0,,5.0,2.0,,2.0,,,,,,,,,,,,
694,2016 04 11 4,7,7,7.0,3,2,2.5,8.0,6,7.0,1.0,3,2.0,7.0,7.0,7.0,3.0,3.0,3.0,2016 04 11 4,6.0,7.0,6.5,3.0,2.0,2.5,7.0,6.0,6.5,3.0,2.0,2.5,,,,,,
695,2016 04 11 5,4,6,5.0,7,8,7.5,5.0,5,5.0,8.0,7,7.5,4.0,5.0,4.5,7.0,6.0,6.5,2016 04 11 5,6.0,,6.0,3.0,,3.0,7.0,,7.0,5.0,,5.0,,,,,,
696,2016 04 11 6,6,6,6.0,3,3,3.0,6.0,6,6.0,1.0,4,2.5,7.0,7.0,7.0,2.0,3.0,2.5,2016 04 11 6,,,,,,,6.0,6.0,6.0,3.0,2.0,2.5,6.0,,6.0,4.0,,4.0
697,2016 04 11 7,6,7,6.5,2,3,2.5,7.0,6,6.5,4.0,4,4.0,7.0,7.0,7.0,3.0,3.0,3.0,2016 04 11 7,,,,,,,7.0,7.0,7.0,3.0,3.0,3.0,8.0,,8.0,3.0,,3.0
698,2016 04 11 8,6,6,6.0,4,4,4.0,7.0,5,6.0,5.0,5,5.0,6.0,6.0,6.0,6.0,4.0,5.0,,,,,,,,,,,,,,,,,,,
699,2016 04 11 9,8,7,7.5,3,2,2.5,8.0,8,8.0,2.0,3,2.5,8.0,6.0,7.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,
700,2016 03 21 0,8,7,7.5,0,2,1.0,9.0,7,8.0,0.0,2,1.0,7.0,7.0,7.0,3.0,3.0,3.0,2016 03 21 0,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,
701,2016 03 21 1,6,8,7.0,8,9,8.5,6.0,5,5.5,10.0,7,8.5,6.0,6.0,6.0,7.0,6.0,6.5,,,,,,,,,,,,,,,,,,,
702,2016 03 21 2,8,7,7.5,7,8,7.5,6.0,4,5.0,7.0,7,7.0,7.0,6.0,6.5,8.0,7.0,7.5,2016 03 21 2,6.0,,6.0,4.0,,4.0,,,,,,,,,,,,
703,2016 03 21 3,4,5,4.5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,3.0,5.0,4.0,5.0,4.0,4.5,2016 03 21 3,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
704,2016 03 21 4,7,7,7.0,2,3,2.5,8.0,6,7.0,2.0,3,2.5,6.0,7.0,6.5,3.0,3.0,3.0,2016 03 21 4,,,,,,,7.0,,7.0,3.0,,3.0,,,,,,
705,2016 03 21 5,7,7,7.0,3,3,3.0,9.0,6,7.5,4.0,3,3.5,7.0,6.0,6.5,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
706,2016 03 21 6,7,7,7.0,8,8,8.0,4.0,5,4.5,7.0,6,6.5,6.0,7.0,6.5,4.0,6.0,5.0,2016 03 21 6,5.0,,5.0,4.0,,4.0,6.0,,6.0,7.0,,7.0,6.0,,6.0,4.0,,4.0
707,2016 03 21 7,6,6,6.0,4,6,5.0,6.0,6,6.0,8.0,3,5.5,7.0,7.0,7.0,4.0,6.0,5.0,2016 03 21 7,5.0,,5.0,5.0,,5.0,,,,,,,6.0,5.0,5.5,5.0,5.0,5.0
708,2016 03 21 8,6,6,6.0,4,7,5.5,6.0,6,6.0,9.0,7,8.0,7.0,7.0,7.0,7.0,8.0,7.5,,,,,,,,,,,,,,,,,,,
709,2016 03 21 9,6,6,6.0,4,4,4.0,8.0,6,7.0,8.0,6,7.0,4.0,7.0,5.5,6.0,4.0,5.0,2016 03 21 9,6.0,6.0,6.0,4.0,4.0,4.0,5.0,6.0,5.5,5.0,5.0,5.0,,,,,,
710,2016 03 09 0,8,7,7.5,10,10,10.0,5.0,4,4.5,9.0,8,8.5,6.0,6.0,6.0,9.0,7.0,8.0,,,,,,,,,,,,,,,,,,,
711,2016 03 09 1,7,6,6.5,3,4,3.5,6.0,7,6.5,4.0,3,3.5,6.0,6.0,6.0,4.0,3.0,3.5,,,,,,,,,,,,,,,,,,,
712,2016 03 09 2,6,7,6.5,4,4,4.0,3.0,5,4.0,9.0,5,7.0,6.0,6.0,6.0,4.0,6.0,5.0,2016 03 09 2,5.0,5.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,
713,2016 03 09 3,7,6,6.5,4,7,5.5,5.0,6,5.5,3.0,6,4.5,6.0,6.0,6.0,7.0,6.0,6.5,2016 03 09 3,5.0,,5.0,5.0,,5.0,5.0,6.0,5.5,5.0,5.0,5.0,,,,,,
714,2016 03 09 4,7,7,7.0,4,3,3.5,9.0,6,7.5,1.0,3,2.0,7.0,6.0,6.5,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
715,2016 03 09 5,5,6,5.5,8,8,8.0,8.0,5,6.5,10.0,8,9.0,5.0,6.0,5.5,8.0,7.0,7.5,2016 03 09 5,,,,,,,5.0,,5.0,7.0,,7.0,,,,,,
716,2016 03 09 6,6,8,7.0,3,3,3.0,6.0,7,6.5,3.0,3,3.0,6.0,5.0,5.5,3.0,3.0,3.0,2016 03 09 6,6.0,6.0,6.0,4.0,5.0,4.5,5.0,,5.0,4.0,,4.0,,,,,,
717,2016 03 09 7,6,7,6.5,7,9,8.0,5.0,5,5.0,8.0,8,8.0,7.0,5.0,6.0,8.0,7.0,7.5,2016 03 09 7,6.0,5.0,5.5,4.0,4.0,4.0,,,,,,,,,,,,
718,2016 03 09 8,6,6,6.0,8,6,7.0,5.0,5,5.0,6.0,6,6.0,5.0,5.0,5.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,
719,2016 03 09 9,6,6,6.0,10,8,9.0,5.0,5,5.0,7.0,7,7.0,4.0,4.0,4.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,
720,2016 02 26 0,6,7,6.5,0,0,0.0,6.0,5,5.5,2.0,3,2.5,6.0,6.0,6.0,3.0,3.0,3.0,2016 02 26 0,6.0,,6.0,4.0,,4.0,,,,,,,5.0,5.0,5.0,4.0,4.0,4.0
721,2016 02 26 1,7,6,6.5,1,2,1.5,6.0,6,6.0,2.0,3,2.5,6.0,7.0,6.5,3.0,3.0,3.0,2016 02 26 1,6.0,6.0,6.0,3.0,3.0,3.0,,,,,,,,,,,,
722,2016 02 26 2,7,7,7.0,4,3,3.5,7.0,6,6.5,5.0,4,4.5,6.0,6.0,6.0,4.0,4.0,4.0,2016 02 26 2,,,,,,,8.0,,8.0,4.0,,4.0,,,,,,
723,2016 02 26 3,7,7,7.0,0,0,0.0,6.0,7,6.5,2.0,2,2.0,7.0,7.0,7.0,3.0,3.0,3.0,2016 02 26 3,,,,,,,7.0,,7.0,1.0,,1.0,,,,,,
724,2016 02 26 4,8,7,7.5,9,8,8.5,2.0,2,2.0,8.0,8,8.0,6.0,7.0,6.5,7.0,7.0,7.0,2016 02 26 4,6.0,6.0,6.0,3.0,5.0,4.0,7.0,,7.0,8.0,,8.0,,,,,,
725,2016 02 26 5,6,6,6.0,6,6,6.0,5.0,5,5.0,8.0,7,7.5,4.0,6.0,5.0,6.0,4.0,5.0,2016 02 26 5,,,,,,,6.0,,6.0,6.0,,6.0,,,,,,
726,2016 02 26 6,7,7,7.0,3,3,3.0,9.0,7,8.0,3.0,3,3.0,6.0,6.0,6.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
727,2016 02 26 7,6,6,6.0,7,7,7.0,5.0,2,3.5,6.0,5,5.5,4.0,4.0,4.0,7.0,5.0,6.0,2016 02 26 7,4.0,,4.0,6.0,,6.0,,,,,,,,,,,,
728,2016 02 26 8,7,6,6.5,10,8,9.0,6.0,5,5.5,8.0,7,7.5,6.0,6.0,6.0,8.0,7.0,7.5,,,,,,,,,,,,,,,,,,,
729,2016 02 26 9,6,6,6.0,8,7,7.5,5.0,5,5.0,10.0,6,8.0,4.0,6.0,5.0,6.0,6.0,6.0,2016 02 26 9,,,,,,,5.0,5.0,5.0,6.0,7.0,6.5,,,,,,
730,2016 02 23 0,7,7,7.0,2,3,2.5,6.0,7,6.5,0.0,1,0.5,7.0,6.0,6.5,3.0,3.0,3.0,2016 02 23 0,6.0,,6.0,2.0,,2.0,,,,,,,5.0,,5.0,3.0,,3.0
731,2016 02 23 1,5,6,5.5,7,6,6.5,6.0,5,5.5,8.0,5,6.5,3.0,4.0,3.5,7.0,6.0,6.5,2016 02 23 1,7.0,,7.0,3.0,,3.0,,,,,,,,,,,,
732,2016 02 23 2,7,8,7.5,3,3,3.0,9.0,6,7.5,2.0,4,3.0,7.0,7.0,7.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
733,2016 02 23 3,8,7,7.5,2,3,2.5,8.0,6,7.0,7.0,5,6.0,7.0,6.0,6.5,3.0,4.0,3.5,2016 02 23 3,5.0,,5.0,3.0,,3.0,,,,,,,,,,,,
734,2016 02 23 4,6,7,6.5,3,3,3.0,5.0,6,5.5,4.0,4,4.0,7.0,6.0,6.5,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
735,2016 02 23 5,6,6,6.0,7,8,7.5,5.0,5,5.0,8.0,7,7.5,5.0,5.0,5.0,7.0,7.0,7.0,2016 02 23 5,7.0,7.0,7.0,4.0,3.0,3.5,,,,,,,,,,,,
736,2016 02 23 6,8,6,7.0,10,8,9.0,7.0,5,6.0,8.0,7,7.5,8.0,8.0,8.0,8.0,8.0,8.0,2016 02 23 6,7.0,,7.0,4.0,,4.0,7.0,,7.0,8.0,,8.0,,,,,,
737,2016 02 23 7,8,7,7.5,1,2,1.5,9.0,7,8.0,1.0,3,2.0,8.0,7.0,7.5,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
738,2016 02 23 8,7,7,7.0,2,2,2.0,8.0,6,7.0,1.0,3,2.0,7.0,7.0,7.0,3.0,3.0,3.0,2016 02 23 8,,,,,,,,,,,,,5.0,,5.0,4.0,,4.0
739,2016 02 23 9,6,6,6.0,5,6,5.5,6.0,5,5.5,4.0,5,4.5,7.0,7.0,7.0,4.0,4.0,4.0,2016 02 23 9,,,,,,,6.0,,6.0,5.0,,5.0,,,,,,
740,2016 02 18 0,7,7,7.0,2,3,2.5,6.0,5,5.5,3.0,4,3.5,6.0,6.0,6.0,3.0,3.0,3.0,2016 02 18 0,5.0,,5.0,3.0,,3.0,6.0,,6.0,4.0,,4.0,,,,,,
741,2016 02 18 1,7,7,7.0,2,3,2.5,10.0,8,9.0,1.0,1,1.0,7.0,7.0,7.0,3.0,3.0,3.0,2016 02 18 1,7.0,6.0,6.5,3.0,3.0,3.0,,,,,,,,,,,,
742,2016 02 18 2,5,6,5.5,7,8,7.5,6.0,5,5.5,8.0,7,7.5,4.0,5.0,4.5,6.0,6.0,6.0,2016 02 18 2,5.0,,5.0,6.0,,6.0,,,,,,,5.0,,5.0,5.0,,5.0
743,2016 02 18 3,6,6,6.0,6,6,6.0,5.0,2,3.5,5.0,7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2016 02 18 3,,,,,,,5.0,,5.0,6.0,,6.0,,,,,,
744,2016 02 18 4,6,6,6.0,3,3,3.0,8.0,5,6.5,4.0,4,4.0,7.0,7.0,7.0,3.0,4.0,3.5,2016 02 18 4,6.0,,6.0,3.0,,3.0,6.0,,6.0,4.0,,4.0,,,,,,
745,2016 02 18 5,6,6,6.0,3,2,2.5,6.0,6,6.0,2.0,3,2.5,6.0,6.0,6.0,3.0,2.0,2.5,2016 02 18 5,,,,,,,5.0,,5.0,3.0,,3.0,,,,,,
746,2016 02 18 6,6,6,6.0,7,8,7.5,3.0,4,3.5,8.0,6,7.0,5.0,4.0,4.5,5.0,6.0,5.5,,,,,,,,,,,,,,,,,,,
747,2016 02 18 7,7,7,7.0,3,2,2.5,6.0,6,6.0,3.0,4,3.5,7.0,6.0,6.5,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
748,2016 02 18 8,6,7,6.5,1,3,2.0,7.0,5,6.0,1.0,3,2.0,6.0,6.0,6.0,3.0,3.0,3.0,2016 02 18 8,,,,,,,6.0,,6.0,2.0,,2.0,5.0,,5.0,5.0,,5.0
749,2016 02 18 9,6,6,6.0,10,7,8.5,5.0,5,5.0,8.0,6,7.0,5.0,4.0,4.5,7.0,6.0,6.5,2016 02 18 9,,,,,,,,,,,,,5.0,4.0,4.5,5.0,5.0,5.0
750,2016 02 05 0,7,7,7.0,3,2,2.5,8.0,7,7.5,3.0,1,2.0,7.0,6.0,6.5,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
751,2016 02 05 1,7,7,7.0,2,3,2.5,6.0,6,6.0,5.0,4,4.5,7.0,6.0,6.5,3.0,4.0,3.5,2016 02 05 1,6.0,,6.0,3.0,,3.0,,,,,,,5.0,,5.0,4.0,,4.0
752,2016 02 05 2,6,7,6.5,4,4,4.0,7.0,5,6.0,3.0,5,4.0,4.0,4.0,4.0,5.0,4.0,4.5,2016 02 05 2,5.0,,5.0,4.0,,4.0,,,,,,,6.0,,6.0,5.0,,5.0
753,2016 02 05 3,7,6,6.5,0,0,0.0,6.0,8,7.0,1.0,3,2.0,7.0,7.0,7.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
754,2016 02 05 4,6,6,6.0,7,8,7.5,5.0,5,5.0,8.0,7,7.5,4.0,4.0,4.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,
755,2016 02 05 5,6,6,6.0,3,3,3.0,6.0,5,5.5,4.0,4,4.0,6.0,5.0,5.5,4.0,4.0,4.0,2016 02 05 5,5.0,,5.0,4.0,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
756,2016 02 05 6,6,6,6.0,9,8,8.5,4.0,5,4.5,7.0,7,7.0,6.0,5.0,5.5,6.0,6.0,6.0,2016 02 05 6,,,,,,,6.0,,6.0,7.0,,7.0,7.0,,7.0,4.0,,4.0
757,2016 02 05 7,7,7,7.0,3,3,3.0,8.0,6,7.0,2.0,3,2.5,7.0,7.0,7.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
758,2016 02 05 8,7,7,7.0,7,7,7.0,5.0,5,5.0,8.0,6,7.0,6.0,4.0,5.0,6.0,6.0,6.0,2016 02 05 8,,,,,,,6.0,6.0,6.0,5.0,7.0,6.0,,,,,,
759,2016 02 05 9,6,7,6.5,2,3,2.5,7.0,6,6.5,3.0,4,3.5,7.0,7.0,7.0,3.0,4.0,3.5,2016 02 05 9,7.0,7.0,7.0,3.0,3.0,3.0,,,,,,,7.0,,7.0,4.0,,4.0
760,2016 02 02 0,5,6,5.5,7,7,7.0,8.0,7,7.5,5.0,5,5.0,6.0,6.0,6.0,6.0,4.0,5.0,2016 02 02 0,6.0,,6.0,6.0,,6.0,6.0,7.0,6.5,6.0,7.0,6.5,,,,,,
761,2016 02 02 1,6,6,6.0,2,1,1.5,6.0,6,6.0,3.0,4,3.5,6.0,5.0,5.5,4.0,3.0,3.5,2016 02 02 1,,,,,,,6.0,,6.0,5.0,,5.0,,,,,,
762,2016 02 02 2,7,8,7.5,2,2,2.0,6.0,7,6.5,2.0,3,2.5,7.0,6.0,6.5,2.0,3.0,2.5,2016 02 02 2,5.0,,5.0,2.0,,2.0,,,,,,,,,,,,
763,2016 02 02 3,7,7,7.0,3,3,3.0,7.0,5,6.0,4.0,5,4.5,5.0,5.0,5.0,4.0,5.0,4.5,,,,,,,,,,,,,,,,,,,
764,2016 02 02 4,7,6,6.5,3,3,3.0,7.0,5,6.0,5.0,3,4.0,7.0,6.0,6.5,3.0,4.0,3.5,2016 02 02 4,6.0,5.0,5.5,4.0,5.0,4.5,,,,,,,,,,,,
765,2016 02 02 5,5,6,5.5,5,4,4.5,8.0,6,7.0,0.0,2,1.0,7.0,6.0,6.5,6.0,5.0,5.5,2016 02 02 5,5.0,,5.0,5.0,,5.0,,,,,,,5.0,,5.0,5.0,,5.0
766,2016 02 02 6,5,6,5.5,4,4,4.0,5.0,5,5.0,5.0,5,5.0,5.0,4.0,4.5,4.0,6.0,5.0,2016 02 02 6,4.0,5.0,4.5,5.0,5.0,5.0,6.0,5.0,5.5,5.0,5.0,5.0,,,,,,
767,2016 02 02 7,6,6,6.0,7,7,7.0,5.0,5,5.0,5.0,7,6.0,4.0,4.0,4.0,7.0,6.0,6.5,,,,,,,,,,,,,,,,,,,
768,2016 02 02 8,6,6,6.0,7,8,7.5,6.0,4,5.0,8.0,6,7.0,5.0,6.0,5.5,6.0,7.0,6.5,2016 02 02 8,,,,,,,,,,,,,6.0,,6.0,7.0,,7.0
769,2016 02 02 9,6,6,6.0,7,8,7.5,2.0,2,2.0,7.0,6,6.5,7.0,6.0,6.5,6.0,6.0,6.0,2016 02 02 9,5.0,,5.0,5.0,,5.0,6.0,,6.0,6.0,,6.0,6.0,,6.0,5.0,,5.0
770,2016 01 28 0,6,6,6.0,7,7,7.0,5.0,5,5.0,8.0,7,7.5,5.0,6.0,5.5,7.0,7.0,7.0,2016 01 28 0,,,,,,,,,,,,,5.0,,5.0,5.0,,5.0
771,2016 01 28 1,6,7,6.5,7,4,5.5,5.0,5,5.0,5.0,6,5.5,6.0,6.0,6.0,3.0,4.0,3.5,2016 01 28 1,7.0,6.0,6.5,3.0,3.0,3.0,7.0,,7.0,4.0,,4.0,,,,,,
772,2016 01 28 2,7,6,6.5,3,3,3.0,8.0,5,6.5,3.0,3,3.0,6.0,6.0,6.0,4.0,3.0,3.5,,,,,,,,,,,,,,,,,,,
773,2016 01 28 3,6,6,6.0,7,6,6.5,4.0,5,4.5,7.0,6,6.5,5.0,5.0,5.0,5.0,6.0,5.5,2016 01 28 3,5.0,,5.0,6.0,,6.0,,,,,,,,,,,,
774,2016 01 28 4,7,7,7.0,3,3,3.0,6.0,6,6.0,3.0,3,3.0,7.0,7.0,7.0,3.0,3.0,3.0,2016 01 28 4,,,,,,,6.0,,6.0,3.0,,3.0,7.0,,7.0,5.0,,5.0
775,2016 01 28 5,7,7,7.0,3,3,3.0,6.0,6,6.0,4.0,3,3.5,6.0,6.0,6.0,3.0,3.0,3.0,2016 01 28 5,5.0,,5.0,4.0,,4.0,,,,,,,,,,,,
776,2016 01 28 6,6,6,6.0,3,2,2.5,7.0,6,6.5,3.0,3,3.0,6.0,6.0,6.0,3.0,4.0,3.5,2016 01 28 6,,,,,,,,,,,,,6.0,,6.0,5.0,,5.0
777,2016 01 28 7,5,6,5.5,10,10,10.0,5.0,4,4.5,8.0,8,8.0,4.0,5.0,4.5,7.0,7.0,7.0,2016 01 28 7,5.0,,5.0,6.0,,6.0,,,,,,,,,,,,
778,2016 01 28 8,6,6,6.0,7,6,6.5,5.0,6,5.5,9.0,6,7.5,4.0,6.0,5.0,7.0,6.0,6.5,,,,,,,,,,,,,,,,,,,
779,2016 01 28 9,6,7,6.5,9,9,9.0,5.0,3,4.0,10.0,8,9.0,5.0,6.0,5.5,7.0,7.0,7.0,2016 01 28 9,6.0,,6.0,3.0,,3.0,8.0,,8.0,8.0,,8.0,7.0,,7.0,5.0,,5.0
780,2016 01 25 0,6,6,6.0,10,10,10.0,7.0,8,7.5,4.0,8,6.0,7.0,6.0,6.5,8.0,7.0,7.5,2016 01 25 0,5.0,,5.0,9.0,,9.0,,,,,,,,,,,,
781,2016 01 25 1,7,7,7.0,7,7,7.0,7.0,4,5.5,7.0,7,7.0,6.0,6.0,6.0,7.0,7.0,7.0,2016 01 25 1,,,,,,,6.0,,6.0,7.0,,7.0,5.0,,5.0,6.0,,6.0
782,2016 01 25 2,7,6,6.5,8,7,7.5,3.0,3,3.0,7.0,7,7.0,3.0,5.0,4.0,7.0,6.0,6.5,2016 01 25 2,6.0,,6.0,4.0,,4.0,,,,,,,,,,,,
783,2016 01 25 3,6,7,6.5,6,7,6.5,5.0,5,5.0,7.0,6,6.5,6.0,5.0,5.5,7.0,6.0,6.5,2016 01 25 3,7.0,7.0,7.0,3.0,4.0,3.5,,,,,,,7.0,7.0,7.0,6.0,6.0,6.0
784,2016 01 25 4,6,7,6.5,8,8,8.0,8.0,4,6.0,9.0,6,7.5,4.0,6.0,5.0,6.0,7.0,6.5,2016 01 25 4,6.0,,6.0,6.0,,6.0,6.0,6.0,6.0,7.0,8.0,7.5,,,,,,
785,2016 01 25 5,6,7,6.5,2,2,2.0,7.0,6,6.5,1.0,2,1.5,7.0,8.0,7.5,2.0,3.0,2.5,2016 01 25 5,5.0,,5.0,4.0,,4.0,,,,,,,,,,,,
786,2016 01 25 6,6,6,6.0,9,8,8.5,7.0,5,6.0,8.0,6,7.0,4.0,4.0,4.0,6.0,6.0,6.0,2016 01 25 6,5.0,,5.0,5.0,,5.0,,,,,,,,,,,,
787,2016 01 25 7,7,7,7.0,10,8,9.0,5.0,5,5.0,8.0,7,7.5,4.0,5.0,4.5,6.0,6.0,6.0,2016 01 25 7,5.0,,5.0,5.0,,5.0,,,,,,,,,,,,
788,2016 01 25 8,7,7,7.0,1,2,1.5,9.0,7,8.0,1.0,2,1.5,7.0,7.0,7.0,2.0,2.0,2.0,2016 01 25 8,7.0,7.0,7.0,3.0,2.0,2.5,6.0,,6.0,2.0,,2.0,,,,,,
789,2016 01 25 9,7,6,6.5,9,9,9.0,6.0,5,5.5,8.0,7,7.5,6.0,5.0,5.5,8.0,7.0,7.5,2016 01 25 9,7.0,,7.0,10.0,,10.0,8.0,,8.0,9.0,,9.0,6.0,,6.0,9.0,,9.0
790,2015 12 09 0,6,6,6.0,8,7,7.5,3.0,3,3.0,8.0,7,7.5,4.0,4.0,4.0,6.0,6.0,6.0,2015 12 09 0,7.0,8.0,7.5,7.0,7.0,7.0,,,,,,,6.0,,6.0,6.0,,6.0
791,2015 12 09 1,6,6,6.0,3,4,3.5,6.0,5,5.5,6.0,5,5.5,4.0,4.0,4.0,3.0,4.0,3.5,2015 12 09 1,7.0,,7.0,2.0,,2.0,,,,,,,,,,,,
792,2015 12 09 2,7,7,7.0,2,2,2.0,5.0,7,6.0,3.0,3,3.0,7.0,7.0,7.0,3.0,2.0,2.5,2015 12 09 2,6.0,,6.0,3.0,,3.0,,,,,,,,,,,,
793,2015 12 09 3,6,6,6.0,6,4,5.0,6.0,5,5.5,7.0,6,6.5,5.0,5.0,5.0,5.0,4.0,4.5,2015 12 09 3,5.0,5.0,5.0,4.0,5.0,4.5,,,,,,,,,,,,
794,2015 12 09 4,7,7,7.0,3,3,3.0,8.0,6,7.0,2.0,3,2.5,6.0,6.0,6.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
795,2015 12 09 5,6,6,6.0,6,7,6.5,3.0,4,3.5,8.0,6,7.0,6.0,4.0,5.0,7.0,6.0,6.5,,,,,,,,,,,,,,,,,,,
796,2015 12 09 6,6,7,6.5,4,5,4.5,6.0,6,6.0,7.0,6,6.5,7.0,5.0,6.0,6.0,6.0,6.0,2015 12 09 6,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
797,2015 12 09 7,7,8,7.5,10,10,10.0,5.0,5,5.0,10.0,9,9.5,4.0,6.0,5.0,9.0,8.0,8.5,2015 12 09 7,,,,,,,6.0,,6.0,9.0,,9.0,,,,,,
798,2015 12 09 8,6,6,6.0,6,7,6.5,5.0,5,5.0,7.0,6,6.5,6.0,6.0,6.0,7.0,6.0,6.5,,,,,,,,,,,,,,,,,,,
799,2015 12 09 9,6,6,6.0,4,3,3.5,5.0,5,5.0,6.0,5,5.5,4.0,5.0,4.5,5.0,4.0,4.5,2015 12 09 9,4.0,5.0,4.5,4.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
800,2015 12 07 0,6,6,6.0,4,4,4.0,5.0,5,5.0,6.0,6,6.0,6.0,6.0,6.0,6.0,5.0,5.5,,,,,,,,,,,,,,,,,,,
801,2015 12 07 1,6,7,6.5,2,3,2.5,6.0,6,6.0,2.0,4,3.0,6.0,6.0,6.0,3.0,3.0,3.0,2015 12 07 1,7.0,7.0,7.0,3.0,3.0,3.0,8.0,8.0,8.0,2.0,2.0,2.0,8.0,,8.0,3.0,,3.0
802,2015 12 07 2,7,7,7.0,3,3,3.0,6.0,6,6.0,3.0,3,3.0,7.0,6.0,6.5,3.0,3.0,3.0,2015 12 07 2,6.0,6.0,6.0,4.0,3.0,3.5,,,,,,,,,,,,
803,2015 12 07 3,7,7,7.0,4,3,3.5,6.0,6,6.0,4.0,4,4.0,6.0,6.0,6.0,3.0,4.0,3.5,2015 12 07 3,,,,,,,6.0,,6.0,4.0,,4.0,,,,,,
