,v1Act1,v1Act2,v1ActAvg,v1Sent1,v1Sent2,v1SentAvg,v2Act1,v2Act2,v2ActAvg,v2Sent1,v2Sent2,v2SentAvg,v3Act1,v3Act2,v3ActAvg,v3Sent1,v3Sent2,v3SentAvg,Video
2015 12 07 6,,,,,,,6.0,,6.0,8.0,,8.0,,,,,,,2015 12 07 6
2015 12 07 7,,,,,,,6.0,,6.0,4.0,,4.0,5.0,,5.0,4.0,,4.0,2015 12 07 7
2015 12 07 9,7.0,,7.0,7.0,,7.0,,,,,,,,,,,,,2015 12 07 9
2015 12 09 0,7.0,8.0,7.5,7.0,7.0,7.0,,,,,,,6.0,,6.0,6.0,,6.0,2015 12 09 0
2015 12 09 1,7.0,,7.0,2.0,,2.0,,,,,,,,,,,,,2015 12 09 1
2015 12 09 2,6.0,,6.0,3.0,,3.0,,,,,,,,,,,,,2015 12 09 2
2015 12 09 3,5.0,5.0,5.0,4.0,5.0,4.5,,,,,,,,,,,,,2015 12 09 3
2015 12 09 6,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,2015 12 09 6
2015 12 09 7,,,,,,,6.0,,6.0,9.0,,9.0,,,,,,,2015 12 09 7
2015 12 09 9,4.0,5.0,4.5,4.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,2015 12 09 9
2016 01 25 0,5.0,,5.0,9.0,,9.0,,,,,,,,,,,,,2016 01 25 0
2016 01 25 1,,,,,,,6.0,,6.0,7.0,,7.0,5.0,,5.0,6.0,,6.0,2016 01 25 1
2016 01 25 2,6.0,,6.0,4.0,,4.0,,,,,,,,,,,,,2016 01 25 2
2016 01 25 3,7.0,7.0,7.0,3.0,4.0,3.5,,,,,,,7.0,7.0,7.0,6.0,6.0,6.0,2016 01 25 3
2016 01 25 4,6.0,,6.0,6.0,,6.0,6.0,6.0,6.0,7.0,8.0,7.5,,,,,,,2016 01 25 4
2016 01 25 5,5.0,,5.0,4.0,,4.0,,,,,,,,,,,,,2016 01 25 5
2016 01 25 6,5.0,,5.0,5.0,,5.0,,,,,,,,,,,,,2016 01 25 6
2016 01 25 7,5.0,,5.0,5.0,,5.0,,,,,,,,,,,,,2016 01 25 7
2016 01 25 8,7.0,7.0,7.0,3.0,2.0,2.5,6.0,,6.0,2.0,,2.0,,,,,,,2016 01 25 8
2016 01 25 9,7.0,,7.0,10.0,,10.0,8.0,,8.0,9.0,,9.0,6.0,,6.0,9.0,,9.0,2016 01 25 9
2016 01 28 0,,,,,,,,,,,,,5.0,,5.0,5.0,,5.0,2016 01 28 0
2016 01 28 1,7.0,6.0,6.5,3.0,3.0,3.0,7.0,,7.0,4.0,,4.0,,,,,,,2016 01 28 1
2016 01 28 3,5.0,,5.0,6.0,,6.0,,,,,,,,,,,,,2016 01 28 3
2016 01 28 4,,,,,,,6.0,,6.0,3.0,,3.0,7.0,,7.0,5.0,,5.0,2016 01 28 4
2016 01 28 5,5.0,,5.0,4.0,,4.0,,,,,,,,,,,,,2016 01 28 5
2016 01 28 6,,,,,,,,,,,,,6.0,,6.0,5.0,,5.0,2016 01 28 6
2016 01 28 7,5.0,,5.0,6.0,,6.0,,,,,,,,,,,,,2016 01 28 7
2016 01 28 9,6.0,,6.0,3.0,,3.0,8.0,,8.0,8.0,,8.0,7.0,,7.0,5.0,,5.0,2016 01 28 9
2016 02 02 0,6.0,,6.0,6.0,,6.0,6.0,7.0,6.5,6.0,7.0,6.5,,,,,,,2016 02 02 0
2016 02 02 1,,,,,,,6.0,,6.0,5.0,,5.0,,,,,,,2016 02 02 1
2016 02 02 2,5.0,,5.0,2.0,,2.0,,,,,,,,,,,,,2016 02 02 2
2016 02 02 4,6.0,5.0,5.5,4.0,5.0,4.5,,,,,,,,,,,,,2016 02 02 4
2016 02 02 5,5.0,,5.0,5.0,,5.0,,,,,,,5.0,,5.0,5.0,,5.0,2016 02 02 5
2016 02 02 6,4.0,5.0,4.5,5.0,5.0,5.0,6.0,5.0,5.5,5.0,5.0,5.0,,,,,,,2016 02 02 6
2016 02 02 8,,,,,,,,,,,,,6.0,,6.0,7.0,,7.0,2016 02 02 8
2016 02 02 9,5.0,,5.0,5.0,,5.0,6.0,,6.0,6.0,,6.0,6.0,,6.0,5.0,,5.0,2016 02 02 9
2016 02 05 1,6.0,,6.0,3.0,,3.0,,,,,,,5.0,,5.0,4.0,,4.0,2016 02 05 1
2016 02 05 2,5.0,,5.0,4.0,,4.0,,,,,,,6.0,,6.0,5.0,,5.0,2016 02 05 2
2016 02 05 5,5.0,,5.0,4.0,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,2016 02 05 5
2016 02 05 6,,,,,,,6.0,,6.0,7.0,,7.0,7.0,,7.0,4.0,,4.0,2016 02 05 6
2016 02 05 8,,,,,,,6.0,6.0,6.0,5.0,7.0,6.0,,,,,,,2016 02 05 8
2016 02 05 9,7.0,7.0,7.0,3.0,3.0,3.0,,,,,,,7.0,,7.0,4.0,,4.0,2016 02 05 9
2016 02 18 0,5.0,,5.0,3.0,,3.0,6.0,,6.0,4.0,,4.0,,,,,,,2016 02 18 0
2016 02 18 1,7.0,6.0,6.5,3.0,3.0,3.0,,,,,,,,,,,,,2016 02 18 1
2016 02 18 2,5.0,,5.0,6.0,,6.0,,,,,,,5.0,,5.0,5.0,,5.0,2016 02 18 2
2016 02 18 3,,,,,,,5.0,,5.0,6.0,,6.0,,,,,,,2016 02 18 3
2016 02 18 4,6.0,,6.0,3.0,,3.0,6.0,,6.0,4.0,,4.0,,,,,,,2016 02 18 4
2016 02 18 5,,,,,,,5.0,,5.0,3.0,,3.0,,,,,,,2016 02 18 5
2016 02 18 8,,,,,,,6.0,,6.0,2.0,,2.0,5.0,,5.0,5.0,,5.0,2016 02 18 8
2016 02 18 9,,,,,,,,,,,,,5.0,4.0,4.5,5.0,5.0,5.0,2016 02 18 9
2016 02 23 0,6.0,,6.0,2.0,,2.0,,,,,,,5.0,,5.0,3.0,,3.0,2016 02 23 0
2016 02 23 1,7.0,,7.0,3.0,,3.0,,,,,,,,,,,,,2016 02 23 1
2016 02 23 3,5.0,,5.0,3.0,,3.0,,,,,,,,,,,,,2016 02 23 3
2016 02 23 5,7.0,7.0,7.0,4.0,3.0,3.5,,,,,,,,,,,,,2016 02 23 5
2016 02 23 6,7.0,,7.0,4.0,,4.0,7.0,,7.0,8.0,,8.0,,,,,,,2016 02 23 6
2016 02 23 8,,,,,,,,,,,,,5.0,,5.0,4.0,,4.0,2016 02 23 8
2016 02 23 9,,,,,,,6.0,,6.0,5.0,,5.0,,,,,,,2016 02 23 9
2016 02 26 0,6.0,,6.0,4.0,,4.0,,,,,,,5.0,5.0,5.0,4.0,4.0,4.0,2016 02 26 0
2016 02 26 1,6.0,6.0,6.0,3.0,3.0,3.0,,,,,,,,,,,,,2016 02 26 1
2016 02 26 2,,,,,,,8.0,,8.0,4.0,,4.0,,,,,,,2016 02 26 2
2016 02 26 3,,,,,,,7.0,,7.0,1.0,,1.0,,,,,,,2016 02 26 3
2016 02 26 4,6.0,6.0,6.0,3.0,5.0,4.0,7.0,,7.0,8.0,,8.0,,,,,,,2016 02 26 4
2016 02 26 5,,,,,,,6.0,,6.0,6.0,,6.0,,,,,,,2016 02 26 5
2016 02 26 7,4.0,,4.0,6.0,,6.0,,,,,,,,,,,,,2016 02 26 7
2016 02 26 9,,,,,,,5.0,5.0,5.0,6.0,7.0,6.5,,,,,,,2016 02 26 9
2016 03 09 2,5.0,5.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,2016 03 09 2
2016 03 09 3,5.0,,5.0,5.0,,5.0,5.0,6.0,5.5,5.0,5.0,5.0,,,,,,,2016 03 09 3
2016 03 09 5,,,,,,,5.0,,5.0,7.0,,7.0,,,,,,,2016 03 09 5
2016 03 09 6,6.0,6.0,6.0,4.0,5.0,4.5,5.0,,5.0,4.0,,4.0,,,,,,,2016 03 09 6
2016 03 09 7,6.0,5.0,5.5,4.0,4.0,4.0,,,,,,,,,,,,,2016 03 09 7
2016 03 21 0,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2016 03 21 0
2016 03 21 2,6.0,,6.0,4.0,,4.0,,,,,,,,,,,,,2016 03 21 2
2016 03 21 3,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,2016 03 21 3
2016 03 21 4,,,,,,,7.0,,7.0,3.0,,3.0,,,,,,,2016 03 21 4
2016 03 21 6,5.0,,5.0,4.0,,4.0,6.0,,6.0,7.0,,7.0,6.0,,6.0,4.0,,4.0,2016 03 21 6
2016 03 21 7,5.0,,5.0,5.0,,5.0,,,,,,,6.0,5.0,5.5,5.0,5.0,5.0,2016 03 21 7
2016 03 21 9,6.0,6.0,6.0,4.0,4.0,4.0,5.0,6.0,5.5,5.0,5.0,5.0,,,,,,,2016 03 21 9
2016 04 11 0,7.0,,7.0,3.0,,3.0,7.0,,7.0,4.0,,4.0,8.0,,8.0,3.0,,3.0,2016 04 11 0
2016 04 11 1,6.0,,6.0,4.0,,4.0,,,,,,,,,,,,,2016 04 11 1
2016 04 11 2,8.0,9.0,8.5,1.0,0.0,0.5,,,,,,,,,,,,,2016 04 11 2
2016 04 11 3,5.0,,5.0,2.0,,2.0,,,,,,,,,,,,,2016 04 11 3
2016 04 11 4,6.0,7.0,6.5,3.0,2.0,2.5,7.0,6.0,6.5,3.0,2.0,2.5,,,,,,,2016 04 11 4
2016 04 11 5,6.0,,6.0,3.0,,3.0,7.0,,7.0,5.0,,5.0,,,,,,,2016 04 11 5
2016 04 11 6,,,,,,,6.0,6.0,6.0,3.0,2.0,2.5,6.0,,6.0,4.0,,4.0,2016 04 11 6
2016 04 11 7,,,,,,,7.0,7.0,7.0,3.0,3.0,3.0,8.0,,8.0,3.0,,3.0,2016 04 11 7
2016 04 14 1,,,,,,,7.0,,7.0,3.0,,3.0,,,,,,,2016 04 14 1
2016 04 14 2,,,,,,,8.0,8.0,8.0,3.0,4.0,3.5,,,,,,,2016 04 14 2
2016 04 14 3,6.0,,6.0,3.0,,3.0,7.0,7.0,7.0,3.0,2.0,2.5,,,,,,,2016 04 14 3
2016 04 14 4,,,,,,,6.0,,6.0,2.0,,2.0,5.0,,5.0,4.0,,4.0,2016 04 14 4
2016 04 14 5,5.0,,5.0,3.0,,3.0,,,,,,,,,,,,,2016 04 14 5
2016 04 14 6,4.0,,4.0,3.0,,3.0,5.0,,5.0,5.0,,5.0,,,,,,,2016 04 14 6
2016 04 14 7,7.0,,7.0,7.0,,7.0,,,,,,,,,,,,,2016 04 14 7
2016 04 14 9,6.0,,6.0,3.0,,3.0,8.0,,8.0,3.0,,3.0,,,,,,,2016 04 14 9
2016 04 19 0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,,6.0,7.0,,7.0,,,,,,,2016 04 19 0
2016 04 19 1,,,,,,,6.0,,6.0,7.0,,7.0,,,,,,,2016 04 19 1
2016 04 19 2,,,,,,,6.0,8.0,7.0,7.0,7.0,7.0,,,,,,,2016 04 19 2
2016 04 19 3,5.0,,5.0,6.0,,6.0,5.0,,5.0,5.0,,5.0,,,,,,,2016 04 19 3
2016 04 19 5,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,2016 04 19 5
2016 04 19 6,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2016 04 19 6
2016 04 19 7,,,,,,,7.0,7.0,7.0,6.0,6.0,6.0,,,,,,,2016 04 19 7
2016 04 19 8,,,,,,,3.0,,3.0,6.0,,6.0,,,,,,,2016 04 19 8
2016 04 22 1,,,,,,,6.0,,6.0,7.0,,7.0,,,,,,,2016 04 22 1
2016 04 22 3,6.0,5.0,5.5,6.0,6.0,6.0,,,,,,,,,,,,,2016 04 22 3
2016 04 22 4,5.0,,5.0,5.0,,5.0,8.0,6.0,7.0,6.0,6.0,6.0,,,,,,,2016 04 22 4
2016 04 22 6,4.0,,4.0,6.0,,6.0,4.0,,4.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,2016 04 22 6
2016 04 22 7,4.0,,4.0,4.0,,4.0,,,,,,,,,,,,,2016 04 22 7
2016 04 22 8,,,,,,,3.0,3.0,3.0,7.0,7.0,7.0,,,,,,,2016 04 22 8
2016 04 22 9,,,,,,,4.0,,4.0,6.0,,6.0,,,,,,,2016 04 22 9
2016 05 04 0,8.0,,8.0,6.0,,6.0,,,,,,,,,,,,,2016 05 04 0
2016 05 04 1,3.0,,3.0,5.0,,5.0,,,,,,,3.0,4.0,3.5,5.0,6.0,5.5,2016 05 04 1
2016 05 04 4,,,,,,,6.0,,6.0,5.0,,5.0,,,,,,,2016 05 04 4
2016 05 04 5,3.0,4.0,3.5,6.0,6.0,6.0,,,,,,,,,,,,,2016 05 04 5
2016 05 04 6,4.0,4.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,,2016 05 04 6
2016 05 04 7,3.0,3.0,3.0,7.0,6.0,6.5,3.0,,3.0,7.0,,7.0,4.0,,4.0,7.0,,7.0,2016 05 04 7
2016 05 04 8,1.0,2.0,1.5,7.0,7.0,7.0,2.0,,2.0,6.0,,6.0,4.0,,4.0,5.0,,5.0,2016 05 04 8
2016 05 04 9,4.0,,4.0,6.0,,6.0,,,,,,,,,,,,,2016 05 04 9
2016 05 09 0,8.0,5.0,6.5,6.0,5.0,5.5,,,,,,,5.0,,5.0,4.0,,4.0,2016 05 09 0
2016 05 09 1,2.0,3.0,2.5,7.0,6.0,6.5,3.0,,3.0,7.0,,7.0,4.0,,4.0,6.0,,6.0,2016 05 09 1
2016 05 09 2,3.0,4.0,3.5,6.0,6.0,6.0,,,,,,,,,,,,,2016 05 09 2
2016 05 09 3,3.0,,3.0,6.0,,6.0,,,,,,,,,,,,,2016 05 09 3
2016 05 09 4,6.0,6.0,6.0,2.0,4.0,3.0,7.0,7.0,7.0,5.0,6.0,5.5,,,,,,,2016 05 09 4
2016 05 09 6,7.0,,7.0,5.0,,5.0,,,,,,,6.0,,6.0,4.0,,4.0,2016 05 09 6
2016 05 09 7,4.0,5.0,4.5,6.0,6.0,6.0,5.0,6.0,5.5,6.0,6.0,6.0,5.0,,5.0,5.0,,5.0,2016 05 09 7
2016 05 09 8,5.0,,5.0,5.0,,5.0,,,,,,,,,,,,,2016 05 09 8
2016 05 09 9,,,,,,,7.0,,7.0,5.0,,5.0,,,,,,,2016 05 09 9
2016 05 12 0,4.0,,4.0,6.0,,6.0,,,,,,,4.0,,4.0,5.0,,5.0,2016 05 12 0
2016 05 12 3,,,,,,,9.0,,9.0,6.0,,6.0,7.0,,7.0,7.0,,7.0,2016 05 12 3
2016 05 12 4,4.0,,4.0,6.0,,6.0,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,2016 05 12 4
2016 05 12 6,3.0,,3.0,7.0,,7.0,,,,,,,,,,,,,2016 05 12 6
2016 05 12 7,2.0,,2.0,8.0,,8.0,,,,,,,6.0,,6.0,6.0,,6.0,2016 05 12 7
2016 05 12 8,5.0,,5.0,6.0,,6.0,,,,,,,5.0,6.0,5.5,6.0,5.0,5.5,2016 05 12 8
2016 05 12 9,5.0,6.0,5.5,5.0,5.0,5.0,,,,,,,,,,,,,2016 05 12 9
2016 05 17 2,,,,,,,8.0,,8.0,7.0,,7.0,,,,,,,2016 05 17 2
2016 05 17 5,4.0,4.0,4.0,7.0,6.0,6.5,,,,,,,6.0,5.0,5.5,6.0,5.0,5.5,2016 05 17 5
2016 05 17 6,,,,,,,5.0,6.0,5.5,5.0,6.0,5.5,6.0,,6.0,6.0,,6.0,2016 05 17 6
2016 05 17 8,3.0,,3.0,6.0,,6.0,,,,,,,,,,,,,2016 05 17 8
2016 05 17 9,1.0,,1.0,8.0,,8.0,4.0,,4.0,8.0,,8.0,,,,,,,2016 05 17 9
2016 05 20 1,4.0,,4.0,6.0,,6.0,,,,,,,,,,,,,2016 05 20 1
2016 05 20 3,4.0,,4.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,6.0,,6.0,3.0,,3.0,2016 05 20 3
2016 05 20 4,,,,,,,6.0,7.0,6.5,6.0,7.0,6.5,,,,,,,2016 05 20 4
2016 05 20 5,3.0,4.0,3.5,5.0,5.0,5.0,,,,,,,,,,,,,2016 05 20 5
2016 05 20 6,3.0,4.0,3.5,5.0,6.0,5.5,4.0,,4.0,6.0,,6.0,,,,,,,2016 05 20 6
2016 05 20 8,4.0,,4.0,4.0,,4.0,,,,,,,,,,,,,2016 05 20 8
2016 05 20 9,,,,,,,5.0,,5.0,7.0,,7.0,,,,,,,2016 05 20 9
2016 06 02 0,2.0,3.0,2.5,6.0,7.0,6.5,3.0,,3.0,7.0,,7.0,,,,,,,2016 06 02 0
2016 06 02 1,5.0,,5.0,6.0,,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,,5.0,6.0,,6.0,2016 06 02 1
2016 06 02 2,5.0,,5.0,5.0,,5.0,6.0,,6.0,5.0,,5.0,,,,,,,2016 06 02 2
2016 06 02 3,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2016 06 02 3
2016 06 02 5,5.0,4.0,4.5,6.0,6.0,6.0,,,,,,,,,,,,,2016 06 02 5
2016 06 02 6,,,,,,,4.0,,4.0,5.0,,5.0,,,,,,,2016 06 02 6
2016 06 02 7,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2016 06 02 7
2016 06 02 8,4.0,4.0,4.0,6.0,5.0,5.5,,,,,,,,,,,,,2016 06 02 8
2016 06 02 9,,,,,,,6.0,,6.0,6.0,,6.0,,,,,,,2016 06 02 9
2016 06 07 0,4.0,,4.0,6.0,,6.0,5.0,,5.0,6.0,,6.0,,,,,,,2016 06 07 0
2016 06 07 1,6.0,6.0,6.0,4.0,5.0,4.5,,,,,,,,,,,,,2016 06 07 1
2016 06 07 3,2.0,,2.0,7.0,,7.0,7.0,7.0,7.0,8.0,8.0,8.0,,,,,,,2016 06 07 3
2016 06 07 4,,,,,,,5.0,,5.0,6.0,,6.0,,,,,,,2016 06 07 4
2016 06 07 5,3.0,,3.0,4.0,,4.0,,,,,,,,,,,,,2016 06 07 5
2016 06 07 6,5.0,,5.0,5.0,,5.0,6.0,,6.0,6.0,,6.0,,,,,,,2016 06 07 6
2016 06 07 7,4.0,,4.0,6.0,,6.0,6.0,,6.0,6.0,,6.0,,,,,,,2016 06 07 7
2016 06 07 8,,,,,,,6.0,,6.0,6.0,,6.0,,,,,,,2016 06 07 8
2016 06 07 9,,,,,,,6.0,,6.0,6.0,,6.0,,,,,,,2016 06 07 9
2016 06 10 0,,,,,,,,,,,,,5.0,,5.0,5.0,,5.0,2016 06 10 0
2016 06 10 1,,,,,,,,,,,,,4.0,,4.0,3.0,,3.0,2016 06 10 1
2016 06 10 2,,,,,,,6.0,,6.0,6.0,,6.0,,,,,,,2016 06 10 2
2016 06 10 3,3.0,,3.0,4.0,,4.0,,,,,,,,,,,,,2016 06 10 3
2016 06 10 4,,,,,,,6.0,,6.0,5.0,,5.0,,,,,,,2016 06 10 4
2016 06 10 5,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2016 06 10 5
2016 06 10 6,3.0,,3.0,4.0,,4.0,3.0,,3.0,6.0,,6.0,,,,,,,2016 06 10 6
2016 06 10 7,,,,,,,5.0,5.0,5.0,6.0,6.0,6.0,,,,,,,2016 06 10 7
2016 06 10 8,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2016 06 10 8
2016 06 10 9,5.0,,5.0,0.0,,0.0,,,,,,,,,,,,,2016 06 10 9
2016 06 15 0,4.0,3.0,3.5,7.0,6.0,6.5,5.0,,5.0,6.0,,6.0,,,,,,,2016 06 15 0
2016 06 15 1,3.0,,3.0,6.0,,6.0,5.0,4.0,4.5,6.0,6.0,6.0,,,,,,,2016 06 15 1
2016 06 15 2,,,,,,,3.0,,3.0,6.0,,6.0,,,,,,,2016 06 15 2
2016 06 15 3,3.0,4.0,3.5,6.0,6.0,6.0,,,,,,,,,,,,,2016 06 15 3
2016 06 15 4,,,,,,,,,,,,,5.0,,5.0,5.0,,5.0,2016 06 15 4
2016 06 15 5,2.0,,2.0,7.0,,7.0,1.0,,1.0,7.0,,7.0,,,,,,,2016 06 15 5
2016 06 15 6,5.0,,5.0,5.0,,5.0,,,,,,,,,,,,,2016 06 15 6
2016 06 15 7,,,,,,,6.0,,6.0,5.0,,5.0,,,,,,,2016 06 15 7
2016 06 15 8,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2016 06 15 8
2016 09 19 0,3.0,,3.0,5.0,,5.0,,,,,,,4.0,,4.0,5.0,,5.0,2016 09 19 0
2016 09 19 1,3.0,,3.0,7.0,,7.0,,,,,,,,,,,,,2016 09 19 1
2016 09 19 2,,,,,,,6.0,,6.0,6.0,,6.0,,,,,,,2016 09 19 2
2016 09 19 3,5.0,,5.0,5.0,,5.0,7.0,,7.0,7.0,,7.0,,,,,,,2016 09 19 3
2016 09 19 4,3.0,,3.0,6.0,,6.0,,,,,,,,,,,,,2016 09 19 4
2016 09 19 5,,,,,,,4.0,,4.0,8.0,,8.0,6.0,5.0,5.5,7.0,7.0,7.0,2016 09 19 5
2016 09 19 6,,,,,,,,,,,,,5.0,,5.0,5.0,,5.0,2016 09 19 6
2016 09 19 7,4.0,4.0,4.0,6.0,6.0,6.0,,,,,,,6.0,,6.0,5.0,,5.0,2016 09 19 7
2016 09 19 8,5.0,,5.0,6.0,,6.0,,,,,,,5.0,,5.0,4.0,,4.0,2016 09 19 8
2016 09 23 0,3.0,,3.0,7.0,,7.0,3.0,4.0,3.5,7.0,6.0,6.5,,,,,,,2016 09 23 0
2016 09 23 1,4.0,,4.0,6.0,,6.0,,,,,,,,,,,,,2016 09 23 1
2016 09 23 2,,,,,,,,,,,,,6.0,,6.0,5.0,,5.0,2016 09 23 2
2016 09 23 3,,,,,,,4.0,,4.0,7.0,,7.0,,,,,,,2016 09 23 3
2016 09 23 5,4.0,,4.0,6.0,,6.0,4.0,,4.0,5.0,,5.0,,,,,,,2016 09 23 5
2016 09 23 6,4.0,3.0,3.5,5.0,5.0,5.0,,,,,,,,,,,,,2016 09 23 6
2016 09 23 7,,,,,,,2.0,,2.0,5.0,,5.0,,,,,,,2016 09 23 7
2016 09 23 8,,,,,,,,,,,,,5.0,,5.0,4.0,,4.0,2016 09 23 8
2016 09 23 9,5.0,,5.0,5.0,,5.0,,,,,,,5.0,,5.0,5.0,,5.0,2016 09 23 9
2016 09 28 0,4.0,,4.0,6.0,,6.0,,,,,,,5.0,,5.0,5.0,,5.0,2016 09 28 0
2016 09 28 1,5.0,,5.0,6.0,,6.0,8.0,,8.0,7.0,,7.0,,,,,,,2016 09 28 1
2016 09 28 2,3.0,,3.0,6.0,,6.0,,,,,,,,,,,,,2016 09 28 2
2016 09 28 3,,,,,,,,,,,,,7.0,,7.0,7.0,,7.0,2016 09 28 3
2016 09 28 4,,,,,,,3.0,,3.0,6.0,,6.0,,,,,,,2016 09 28 4
2016 09 28 6,,,,,,,2.0,,2.0,7.0,,7.0,,,,,,,2016 09 28 6
2016 09 28 7,3.0,4.0,3.5,6.0,6.0,6.0,3.0,3.0,3.0,6.0,6.0,6.0,,,,,,,2016 09 28 7
2016 09 28 8,5.0,,5.0,6.0,,6.0,5.0,6.0,5.5,5.0,6.0,5.5,,,,,,,2016 09 28 8
2016 09 28 9,6.0,,6.0,6.0,,6.0,,,,,,,,,,,,,2016 09 28 9
2016 10 03 0,,,,,,,7.0,,7.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,2016 10 03 0
2016 10 03 1,6.0,,6.0,6.0,,6.0,,,,,,,,,,,,,2016 10 03 1
2016 10 03 2,3.0,,3.0,6.0,,6.0,,,,,,,,,,,,,2016 10 03 2
2016 10 03 3,,,,,,,6.0,7.0,6.5,7.0,8.0,7.5,,,,,,,2016 10 03 3
2016 10 03 5,3.0,3.0,3.0,5.0,6.0,5.5,,,,,,,3.0,,3.0,6.0,,6.0,2016 10 03 5
2016 10 03 6,5.0,4.0,4.5,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,5.0,,5.0,5.0,,5.0,2016 10 03 6
2016 10 03 8,,,,,,,,,,,,,6.0,,6.0,5.0,,5.0,2016 10 03 8
2016 10 03 9,4.0,,4.0,6.0,,6.0,,,,,,,,,,,,,2016 10 03 9
2016 10 06 0,,,,,,,,,,,,,6.0,,6.0,3.0,,3.0,2016 10 06 0
2016 10 06 1,4.0,4.0,4.0,4.0,6.0,5.0,,,,,,,,,,,,,2016 10 06 1
2016 10 06 2,5.0,,5.0,6.0,,6.0,8.0,8.0,8.0,6.0,6.0,6.0,,,,,,,2016 10 06 2
2016 10 06 3,,,,,,,3.0,,3.0,5.0,,5.0,5.0,,5.0,3.0,,3.0,2016 10 06 3
2016 10 06 5,4.0,3.0,3.5,6.0,5.0,5.5,3.0,,3.0,6.0,,6.0,,,,,,,2016 10 06 5
2016 10 06 6,,,,,,,,,,,,,5.0,,5.0,5.0,,5.0,2016 10 06 6
2016 10 06 7,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,2016 10 06 7
2016 10 06 9,,,,,,,4.0,,4.0,5.0,,5.0,,,,,,,2016 10 06 9
2016 10 18 0,4.0,,4.0,7.0,,7.0,3.0,,3.0,7.0,,7.0,,,,,,,2016 10 18 0
2016 10 18 1,5.0,,5.0,7.0,,7.0,,,,,,,,,,,,,2016 10 18 1
2016 10 18 5,2.0,,2.0,7.0,,7.0,,,,,,,,,,,,,2016 10 18 5
2016 10 18 6,3.0,3.0,3.0,3.0,5.0,4.0,,,,,,,,,,,,,2016 10 18 6
2016 10 18 7,3.0,,3.0,4.0,,4.0,,,,,,,,,,,,,2016 10 18 7
2016 10 18 8,,,,,,,7.0,,7.0,6.0,,6.0,,,,,,,2016 10 18 8
2016 10 18 9,,,,,,,,,,,,,5.0,,5.0,5.0,,5.0,2016 10 18 9
2016 10 21 0,5.0,,5.0,4.0,,4.0,,,,,,,,,,,,,2016 10 21 0
2016 10 21 2,6.0,,6.0,4.0,,4.0,,,,,,,,,,,,,2016 10 21 2
2016 10 21 3,5.0,,5.0,5.0,,5.0,,,,,,,4.0,,4.0,6.0,,6.0,2016 10 21 3
2016 10 21 4,,,,,,,5.0,,5.0,6.0,,6.0,,,,,,,2016 10 21 4
2016 10 21 5,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2016 10 21 5
2016 10 21 6,6.0,,6.0,3.0,,3.0,7.0,,7.0,5.0,,5.0,,,,,,,2016 10 21 6
2016 10 21 7,,,,,,,8.0,,8.0,2.0,,2.0,,,,,,,2016 10 21 7
2016 10 21 8,5.0,,5.0,5.0,,5.0,5.0,,5.0,6.0,,6.0,,,,,,,2016 10 21 8
2016 10 21 9,5.0,,5.0,5.0,,5.0,7.0,5.0,6.0,7.0,6.0,6.5,,,,,,,2016 10 21 9
2016 10 26 0,6.0,,6.0,3.0,,3.0,5.0,,5.0,3.0,,3.0,,,,,,,2016 10 26 0
2016 10 26 1,7.0,6.0,6.5,3.0,4.0,3.5,,,,,,,,,,,,,2016 10 26 1
2016 10 26 2,6.0,,6.0,4.0,,4.0,6.0,,6.0,4.0,,4.0,,,,,,,2016 10 26 2
2016 10 26 3,,,,,,,6.0,,6.0,2.0,,2.0,,,,,,,2016 10 26 3
2016 10 26 4,4.0,,4.0,5.0,,5.0,,,,,,,,,,,,,2016 10 26 4
2016 10 26 5,,,,,,,6.0,,6.0,6.0,,6.0,,,,,,,2016 10 26 5
2016 10 26 6,,,,,,,,,,,,,6.0,,6.0,3.0,,3.0,2016 10 26 6
2016 10 26 7,5.0,,5.0,4.0,,4.0,,,,,,,,,,,,,2016 10 26 7
