,v1Act1,v1Act2,v1ActAvg,v1Sent1,v1Sent2,v1SentAvg,v2Act1,v2Act2,v2ActAvg,v2Sent1,v2Sent2,v2SentAvg,v3Act1,v3Act2,v3ActAvg,v3Sent1,v3Sent2,v3SentAvg,Video
2015 02 25 7,4.0,4.0,4.0,6.0,5.0,5.5,,,,,,,4.0,,4.0,6.0,,6.0,2015 02 25 7
2015 02 25 8,6.0,,6.0,4.0,,4.0,5.0,,5.0,6.0,,6.0,,,,,,,2015 02 25 8
2015 02 25 9,,,,,,,5.0,5.0,5.0,6.0,7.0,6.5,3.0,,3.0,5.0,,5.0,2015 02 25 9
2015 03 09 0,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,2015 03 09 0
2015 03 09 1,5.0,,5.0,3.0,,3.0,5.0,,5.0,4.0,,4.0,5.0,,5.0,5.0,,5.0,2015 03 09 1
2015 03 09 2,,,,,,,7.0,,7.0,4.0,,4.0,,,,,,,2015 03 09 2
2015 03 09 3,5.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,2015 03 09 3
2015 03 09 4,6.0,,6.0,3.0,,3.0,6.0,5.0,5.5,2.0,3.0,2.5,,,,,,,2015 03 09 4
2015 03 09 5,5.0,,5.0,4.0,,4.0,6.0,,6.0,3.0,,3.0,,,,,,,2015 03 09 5
2015 03 09 6,6.0,5.0,5.5,3.0,5.0,4.0,,,,,,,4.0,,4.0,5.0,,5.0,2015 03 09 6
2015 03 09 7,6.0,,6.0,3.0,,3.0,,,,,,,,,,,,,2015 03 09 7
2015 03 09 8,6.0,,6.0,3.0,,3.0,7.0,6.0,6.5,4.0,5.0,4.5,,,,,,,2015 03 09 8
2015 03 09 9,5.0,,5.0,4.0,,4.0,5.0,,5.0,6.0,,6.0,5.0,5.0,5.0,5.0,5.0,5.0,2015 03 09 9
2015 03 12 0,5.0,,5.0,4.0,,4.0,5.0,5.0,5.0,3.0,5.0,4.0,,,,,,,2015 03 12 0
2015 03 12 1,6.0,6.0,6.0,4.0,3.0,3.5,6.0,,6.0,2.0,,2.0,6.0,6.0,6.0,3.0,5.0,4.0,2015 03 12 1
2015 03 12 2,6.0,7.0,6.5,3.0,3.0,3.0,,,,,,,7.0,,7.0,3.0,,3.0,2015 03 12 2
2015 03 12 3,4.0,,4.0,4.0,,4.0,5.0,5.0,5.0,4.0,3.0,3.5,,,,,,,2015 03 12 3
2015 03 12 4,,,,,,,,,,,,,4.0,,4.0,5.0,,5.0,2015 03 12 4
2015 03 12 5,5.0,,5.0,7.0,,7.0,6.0,,6.0,6.0,,6.0,,,,,,,2015 03 12 5
2015 03 12 6,8.0,9.0,8.5,2.0,1.0,1.5,,,,,,,,,,,,,2015 03 12 6
2015 03 12 7,6.0,7.0,6.5,2.0,3.0,2.5,6.0,7.0,6.5,2.0,2.0,2.0,,,,,,,2015 03 12 7
2015 03 12 8,,,,,,,8.0,8.0,8.0,4.0,4.0,4.0,7.0,,7.0,5.0,,5.0,2015 03 12 8
2015 03 12 9,2.0,,2.0,5.0,,5.0,6.0,,6.0,5.0,,5.0,,,,,,,2015 03 12 9
2015 03 24 0,5.0,,5.0,5.0,,5.0,5.0,,5.0,3.0,,3.0,,,,,,,2015 03 24 0
2015 03 24 1,,,,,,,6.0,,6.0,3.0,,3.0,4.0,,4.0,5.0,,5.0,2015 03 24 1
2015 03 24 2,,,,,,,5.0,6.0,5.5,3.0,3.0,3.0,4.0,,4.0,5.0,,5.0,2015 03 24 2
2015 03 24 3,6.0,5.0,5.5,5.0,5.0,5.0,6.0,,6.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2015 03 24 3
2015 03 24 4,2.0,3.0,2.5,7.0,7.0,7.0,5.0,,5.0,7.0,,7.0,,,,,,,2015 03 24 4
2015 03 24 5,5.0,,5.0,5.0,,5.0,5.0,,5.0,6.0,,6.0,4.0,,4.0,6.0,,6.0,2015 03 24 5
2015 03 24 6,5.0,6.0,5.5,6.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,2015 03 24 6
2015 03 24 7,6.0,,6.0,3.0,,3.0,8.0,,8.0,2.0,,2.0,,,,,,,2015 03 24 7
2015 03 24 8,5.0,,5.0,1.0,,1.0,5.0,6.0,5.5,2.0,2.0,2.0,,,,,,,2015 03 24 8
2015 03 24 9,6.0,6.0,6.0,4.0,4.0,4.0,,,,,,,,,,,,,2015 03 24 9
2015 03 27 0,,,,,,,6.0,5.0,5.5,2.0,3.0,2.5,6.0,,6.0,3.0,,3.0,2015 03 27 0
2015 03 27 1,5.0,,5.0,4.0,,4.0,,,,,,,,,,,,,2015 03 27 1
2015 03 27 2,6.0,6.0,6.0,3.0,4.0,3.5,,,,,,,6.0,4.0,5.0,4.0,5.0,4.5,2015 03 27 2
2015 03 27 3,7.0,6.0,6.5,3.0,3.0,3.0,6.0,7.0,6.5,2.0,3.0,2.5,6.0,,6.0,6.0,,6.0,2015 03 27 3
2015 03 27 4,7.0,7.0,7.0,1.0,2.0,1.5,7.0,7.0,7.0,2.0,2.0,2.0,6.0,,6.0,1.0,,1.0,2015 03 27 4
2015 03 27 5,6.0,5.0,5.5,3.0,4.0,3.5,5.0,,5.0,1.0,,1.0,5.0,,5.0,5.0,,5.0,2015 03 27 5
2015 03 27 6,,,,,,,9.0,,9.0,2.0,,2.0,,,,,,,2015 03 27 6
2015 03 27 7,,,,,,,6.0,6.0,6.0,4.0,4.0,4.0,,,,,,,2015 03 27 7
2015 03 27 8,6.0,6.0,6.0,5.0,6.0,5.5,7.0,,7.0,8.0,,8.0,5.0,,5.0,7.0,,7.0,2015 03 27 8
2015 03 27 9,5.0,5.0,5.0,5.0,4.0,4.5,,,,,,,,,,,,,2015 03 27 9
2015 04 01 0,,,,,,,4.0,,4.0,5.0,,5.0,,,,,,,2015 04 01 0
2015 04 01 2,6.0,6.0,6.0,3.0,3.0,3.0,6.0,,6.0,2.0,,2.0,,,,,,,2015 04 01 2
2015 04 01 3,9.0,,9.0,1.0,,1.0,,,,,,,7.0,7.0,7.0,3.0,3.0,3.0,2015 04 01 3
2015 04 01 4,6.0,,6.0,4.0,,4.0,,,,,,,6.0,6.0,6.0,5.0,4.0,4.5,2015 04 01 4
2015 04 01 5,8.0,7.0,7.5,0.0,2.0,1.0,7.0,7.0,7.0,1.0,1.0,1.0,6.0,,6.0,4.0,,4.0,2015 04 01 5
2015 04 01 6,,,,,,,7.0,,7.0,3.0,,3.0,7.0,7.0,7.0,4.0,4.0,4.0,2015 04 01 6
2015 04 01 7,5.0,6.0,5.5,3.0,3.0,3.0,7.0,6.0,6.5,1.0,3.0,2.0,6.0,,6.0,3.0,,3.0,2015 04 01 7
2015 04 01 8,6.0,6.0,6.0,4.0,4.0,4.0,6.0,5.0,5.5,5.0,5.0,5.0,,,,,,,2015 04 01 8
2015 04 01 9,5.0,6.0,5.5,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.5,6.0,6.0,6.0,4.0,5.0,4.5,2015 04 01 9
2015 04 21 0,5.0,,5.0,3.0,,3.0,5.0,5.0,5.0,4.0,2.0,3.0,4.0,,4.0,4.0,,4.0,2015 04 21 0
2015 04 21 1,5.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,,,,,,,2015 04 21 1
2015 04 21 2,,,,,,,7.0,7.0,7.0,2.0,2.0,2.0,6.0,6.0,6.0,5.0,3.0,4.0,2015 04 21 2
2015 04 21 3,6.0,,6.0,3.0,,3.0,,,,,,,6.0,5.0,5.5,5.0,4.0,4.5,2015 04 21 3
2015 04 21 4,4.0,5.0,4.5,5.0,5.0,5.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,2015 04 21 4
2015 04 21 5,6.0,,6.0,3.0,,3.0,7.0,7.0,7.0,2.0,3.0,2.5,6.0,,6.0,4.0,,4.0,2015 04 21 5
2015 04 21 6,6.0,6.0,6.0,4.0,5.0,4.5,7.0,7.0,7.0,5.0,5.0,5.0,6.0,,6.0,4.0,,4.0,2015 04 21 6
2015 04 21 7,,,,,,,7.0,6.0,6.5,7.0,6.0,6.5,,,,,,,2015 04 21 7
2015 04 21 8,6.0,,6.0,4.0,,4.0,6.0,5.0,5.5,5.0,4.0,4.5,5.0,5.0,5.0,4.0,5.0,4.5,2015 04 21 8
2015 04 21 9,5.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,2015 04 21 9
2015 04 24 0,6.0,7.0,6.5,3.0,3.0,3.0,6.0,,6.0,2.0,,2.0,,,,,,,2015 04 24 0
