Order,Video,Coder,Sentiment,Activation,Anger,Disgust,Fear,Surprise,Sadness,Happiness
3006,2017 06 20 8,JS,4,7,1,1,0,0,0,0
3007,2017 06 13 8,JS,5,5,0,0,0,0,0,0
3008,2017 12 1 3,JS,4,6,0,0,0,0,0,0
3009,2017 05 02 1,JS,5,5,0,0,0,0,0,0
3010,2015 04 29 0,JS,4,7,1,0,0,0,0,0
3011,2015 04 21 2,JS,4,7,1,0,0,0,0,0
3012,2017 11 02 1,JS,6,5,0,0,0,0,0,0
3013,2017 11 23 7,JS,5,5,0,0,0,0,0,0
3014,2017 10 17 0,JS,5,5,0,0,0,0,0,0
3015,2017 10 30 1,JS,5,4,0,0,0,1,0,0
3016,2017 09 27 7,JS,3,6,1,1,0,0,0,0
3017,2017 10 25 2,JS,4,7,1,1,0,0,0,0
3018,2017 05 10 5,JS,5,4,0,0,0,0,0,0
3019,2017 09 22 4,JS,4,5,0,0,0,0,0,0
3020,2017 10 05 0,JS,7,7,0,0,0,0,0,1
3021,2017 12 01 0,JS,4,5,0,0,0,0,0,0
3022,2017 03 20 1,JS,5,4,1,0,0,0,0,0
3023,2017 05 18 5,JS,3,7,0,0,0,0,0,0
3025,2017 01 30 2,JS,4,6,0,1,0,0,0,0
3026,2016 09 19 8,JS,4,5,0,0,0,0,0,0
3027,2016 05 09 7,JS,5,5,0,0,0,0,0,0
3028,2016 02 05 1,JS,4,5,0,0,0,1,0,0
3029,2015 12 09 0,JS,6,6,0,0,0,0,0,0
3030,2015 03 12 8,JS,5,7,0,0,0,0,0,0
3031,2015 04 21 3,JS,4,5,0,1,0,0,0,0
3032,2017 06 13 3,JS,6,6,0,0,0,0,0,0
3033,2017 05 18 4,JS,3,4,0,0,0,0,0,0
3035,2017 11 28 0,JS,7,7,0,0,0,0,0,0
3036,2015 06 01 1,JS,5,3,0,0,0,0,0,0
3037,2015 04 21 5,JS,4,6,1,0,0,1,0,0
3038,2015 03 12 1,JS,5,6,0,0,0,0,0,0
3039,2017 11 23 6,JS,3,7,0,1,0,0,0,0
3040,2015 04 01 3,JS,3,7,1,1,0,0,0,0
3041,2015 03 27 2,JS,5,4,0,0,0,0,0,0
